test,question_no,question_en,option_count
1,60,"Why does the woman say, ""they also talked about it last year""? ©) A) To To explain express a doubt process",2
1,65,What type of art will be displayed in an in (8) A) Cl Oil lg paintings Ipti,2
1,70,,0
1,99,Look at the graphic. At what depth should samples be collected this month?,3
2,49,What does the woman ask the man to talk about? ns paral,2
2,97,Look at the graphic. When is Train 133 scheduled to arrive at its next stop?,3
2,99,Look at the graphic. Which of the following companies i w ill be affected by a delay 2? rilco Nr Airlines,2
2,100,What does the speaker invite the listeners to do? ?,3
3,58,What does the man suggest doing?,3
3,63,Look at the graphic. How much is the mug that the woman likes?,3
3,73,What do the listeners need to do to obtain a discount? 7 A) Make Print out an appointment,2
3,74,What is the podcast episode about?,2
3,76,What will the speaker discuss next?,2
3,88,What does the speaker say about the lunch?,1
3,98,Look at the graphic. Who is the speaker? ie ‘A) Dr. Dr. Bajaj Novikova,2
4,42,What is the purpose of the woman's visit?,3
4,43,What will the woman most likely do next?,3
4,56,,0
4,86,Why does the man apologize?,2
4,96,Look at the graphic. Which proposal was chosen?,1
4,97,"According to the speaker, what will residents be able to vote on? i ) parking ood vendors options",2
5,55,What does the man request? ‘A) A delivery A purchase receipt,2
5,56,Where most likely i are the speakers? 2,1
6,58,Why does the man need to contact a team?,3
6,59,What did the man review yesterday?,3
6,63,What does the woman say she will do? is gang 2 an poster e-,2
6,64,,0
6,66,What schedule conflict does the man mention? (A) He has family obligation. a,3
6,87,dong the speaker thank Rajeev . for,2
7,74,What is scheduled for April 16 ? -,3
8,67,Look at the graphic. Which flowers will be used in the arrangements?,3
8,69,Look at the graphic. Which part of the storefront does the man say is historic?,2
8,73,How can the listeners receive a gift? a ‘A) By By filling going out a surve' fied 79.,2
8,88,What does the speaker remind the listeners to do? ume Shows usage,2
9,49,What will the man send the woman?,3
9,56,,0
9,75,"Why does the speaker say, ""there's a bank across the street""?",3
9,86,What industry does the speaker most likely work in?,1
9,87,What does the speaker say is a priority?,1
9,91,What are the listeners reminded to do? ( ‘A) Secure their belongings i,1
9,92,What is the speaker announcing?,3
9,95,"According to the speaker, what has changed at the farm? (5) (C) re The e type management of crops",1
9,96,Look at the graphic. When does the Ion (B) On In June June 9 98.,2
9,98,Look at the graphic. What is the cost of the project currently being worked on? (a) eee,2
9,99,,0
10,44,What was the man hoping to do this weekend?,3
10,63,What does the woman say she will ask for?,3
10,64,,0
10,65,What does the woman suggest about an event location?,2
10,67,What does the woman say she will do?,2
10,69,Look at h the graphic. ; Which location is the woman referring to?,2
